game_datetime,team_home,team_away,odds_home,odds_away,outcome
2015-11-12 08:00:00,Philadelphia 76ers,Toronto Raptors,5.11,1.19,AWAY
2015-11-12 08:00:00,Orlando Magic,Los Angeles Lakers,1.26,4.1,HOME
2015-11-12 08:00:00,Charlotte Hornets,New York Knicks,1.38,3.2,HOME
2015-11-12 08:30:00,Boston Celtics,Indiana Pacers,1.61,2.4,AWAY
2015-11-12 09:00:00,Dallas Mavericks,Los Angeles Clippers,3.42,1.34,HOME
2015-11-12 09:00:00,Atlanta Hawks,New Orleans Pelicans,1.09,8.49,HOME
2015-11-12 09:00:00,Memphis Grizzlies,Golden State Warriors,3.75,1.3,AWAY
2015-11-12 09:00:00,Houston Rockets,Brooklyn Nets,1.1,7.78,AWAY
2015-11-12 10:00:00,Denver Nuggets,Milwaukee Bucks,1.63,2.39,HOME
2015-11-12 11:00:00,Sacramento Kings,Detroit Pistons,2.08,1.8,HOME
2015-11-12 11:30:00,Portland Trail Blazers,San Antonio Spurs,3.24,1.37,AWAY
2015-11-13 08:30:00,Miami Heat,Utah Jazz,1.59,2.48,HOME
2015-11-13 09:00:00,Minnesota Timberwolves,Golden State Warriors,5.6,1.16,AWAY
2015-11-13 11:30:00,Phoenix Suns,Los Angeles Clippers,1.81,2.06,HOME
2015-11-14 08:00:00,Orlando Magic,Utah Jazz,1.99,1.86,HOME
2015-11-14 08:00:00,Indiana Pacers,Minnesota Timberwolves,1.31,3.71,HOME
2015-11-14 08:30:00,Toronto Raptors,New Orleans Pelicans,1.18,5.29,HOME
2015-11-14 08:30:00,New York Knicks,Cleveland Cavaliers,3.37,1.35,AWAY
2015-11-14 08:30:00,Boston Celtics,Atlanta Hawks,2.03,1.83,HOME
2015-11-14 09:00:00,Oklahoma City Thunder,Philadelphia 76ers,1.07,9.88,HOME
2015-11-14 09:00:00,Memphis Grizzlies,Portland Trail Blazers,1.36,3.31,HOME
2015-11-14 09:00:00,Chicago Bulls,Charlotte Hornets,1.36,3.33,HOME
2015-11-14 09:30:00,Dallas Mavericks,Los Angeles Lakers,1.28,3.88,HOME
2015-11-14 10:00:00,Denver Nuggets,Houston Rockets,3.17,1.39,HOME
2015-11-14 11:00:00,Sacramento Kings,Brooklyn Nets,1.37,3.26,HOME
2015-11-15 04:30:00,Los Angeles Clippers,Detroit Pistons,1.73,2.18,HOME
2015-11-15 08:00:00,Washington Wizards,Orlando Magic,1.44,2.91,HOME
2015-11-15 09:00:00,Houston Rockets,Dallas Mavericks,1.3,3.74,AWAY
2015-11-15 09:30:00,San Antonio Spurs,Philadelphia 76ers,1.03,16.79,HOME
2015-11-15 09:30:00,Milwaukee Bucks,Cleveland Cavaliers,2.87,1.45,HOME
2015-11-15 10:00:00,Phoenix Suns,Denver Nuggets,1.31,3.63,HOME
2015-11-15 11:30:00,Golden State Warriors,Brooklyn Nets,1.03,15.86,HOME
2015-11-16 01:00:00,New York Knicks,New Orleans Pelicans,1.83,2.05,HOME
2015-11-16 04:30:00,Minnesota Timberwolves,Memphis Grizzlies,2.65,1.52,AWAY
2015-11-16 06:00:00,Charlotte Hornets,Portland Trail Blazers,1.52,2.65,HOME
2015-11-16 07:00:00,Atlanta Hawks,Utah Jazz,1.64,2.35,AWAY
2015-11-16 08:00:00,Oklahoma City Thunder,Boston Celtics,1.46,2.82,AWAY
2015-11-16 10:00:00,Sacramento Kings,Toronto Raptors,2.12,1.77,HOME
2015-11-16 10:30:00,Los Angeles Lakers,Detroit Pistons,2.73,1.49,HOME
2015-11-17 08:00:00,Philadelphia 76ers,Dallas Mavericks,4.18,1.25,AWAY
2015-11-17 09:00:00,Memphis Grizzlies,Oklahoma City Thunder,1.69,2.25,HOME
2015-11-17 09:00:00,Houston Rockets,Boston Celtics,1.5,2.69,AWAY
2015-11-17 09:00:00,Chicago Bulls,Indiana Pacers,1.36,3.28,HOME
2015-11-17 09:30:00,San Antonio Spurs,Portland Trail Blazers,1.1,7.91,HOME
2015-11-17 10:00:00,Phoenix Suns,Los Angeles Lakers,1.14,6.44,HOME
2015-11-18 08:00:00,Washington Wizards,Milwaukee Bucks,1.62,2.39,HOME
2015-11-18 08:30:00,New York Knicks,Charlotte Hornets,1.9,1.94,HOME
2015-11-18 08:30:00,Miami Heat,Minnesota Timberwolves,1.24,4.33,AWAY
2015-11-18 08:30:00,Detroit Pistons,Cleveland Cavaliers,2.71,1.5,HOME
2015-11-18 08:30:00,Brooklyn Nets,Atlanta Hawks,2.61,1.53,HOME
2015-11-18 09:00:00,New Orleans Pelicans,Denver Nuggets,1.42,3.02,AWAY
2015-11-18 11:30:00,Golden State Warriors,Toronto Raptors,1.19,5.16,HOME
2015-11-19 08:00:00,Philadelphia 76ers,Indiana Pacers,3.31,1.36,AWAY
2015-11-19 08:00:00,Orlando Magic,Minnesota Timberwolves,1.49,2.73,HOME
2015-11-19 08:00:00,Charlotte Hornets,Brooklyn Nets,1.37,3.24,HOME
2015-11-19 08:30:00,Boston Celtics,Dallas Mavericks,1.51,2.69,AWAY
2015-11-19 09:00:00,Oklahoma City Thunder,New Orleans Pelicans,1.1,7.93,HOME
2015-11-19 09:00:00,Houston Rockets,Portland Trail Blazers,1.36,3.34,HOME
2015-11-19 09:00:00,Atlanta Hawks,Sacramento Kings,1.71,2.21,HOME
2015-11-19 09:30:00,San Antonio Spurs,Denver Nuggets,1.07,10.11,HOME
2015-11-19 10:00:00,Utah Jazz,Toronto Raptors,1.55,2.57,HOME
2015-11-19 11:30:00,Phoenix Suns,Chicago Bulls,1.69,2.26,AWAY
2015-11-20 08:30:00,Miami Heat,Sacramento Kings,1.17,5.4,HOME
2015-11-20 09:00:00,Cleveland Cavaliers,Milwaukee Bucks,1.15,6.02,HOME
2015-11-20 11:30:00,Los Angeles Clippers,Golden State Warriors,2.87,1.45,AWAY
2015-11-21 08:00:00,Charlotte Hornets,Philadelphia 76ers,1.14,6.21,HOME
2015-11-21 08:30:00,Boston Celtics,Brooklyn Nets,1.23,4.49,HOME
2015-11-21 09:00:00,Oklahoma City Thunder,New York Knicks,1.38,3.22,AWAY
2015-11-21 09:00:00,New Orleans Pelicans,San Antonio Spurs,3.8,1.29,HOME
2015-11-21 09:00:00,Minnesota Timberwolves,Detroit Pistons,2.18,1.73,AWAY
2015-11-21 09:00:00,Memphis Grizzlies,Houston Rockets,1.69,2.26,HOME
2015-11-21 09:30:00,Dallas Mavericks,Utah Jazz,1.83,2.04,HOME
2015-11-21 10:00:00,Denver Nuggets,Phoenix Suns,2.31,1.66,AWAY
2015-11-21 11:00:00,Portland Trail Blazers,Los Angeles Clippers,2.49,1.58,HOME
2015-11-21 11:30:00,Los Angeles Lakers,Toronto Raptors,3.36,1.35,AWAY
2015-11-21 11:30:00,Golden State Warriors,Chicago Bulls,1.22,4.62,HOME
2015-11-22 06:00:00,Orlando Magic,Sacramento Kings,1.66,2.31,AWAY
2015-11-22 08:00:00,Indiana Pacers,Milwaukee Bucks,1.48,2.75,HOME
2015-11-22 08:30:00,Detroit Pistons,Washington Wizards,1.9,1.96,AWAY
2015-11-22 08:30:00,Cleveland Cavaliers,Atlanta Hawks,1.44,2.93,HOME
2015-11-22 09:00:00,Miami Heat,Philadelphia 76ers,1.08,9.06,HOME
2015-11-22 09:00:00,Houston Rockets,New York Knicks,1.54,2.61,AWAY
2015-11-22 09:30:00,San Antonio Spurs,Memphis Grizzlies,1.29,3.87,HOME
2015-11-23 04:30:00,Los Angeles Clippers,Toronto Raptors,1.36,3.29,AWAY
2015-11-23 07:00:00,New Orleans Pelicans,Phoenix Suns,1.87,1.98,HOME
2015-11-23 07:00:00,Brooklyn Nets,Boston Celtics,2.97,1.42,HOME
2015-11-23 08:00:00,Oklahoma City Thunder,Dallas Mavericks,1.63,2.38,HOME
2015-11-23 09:00:00,Denver Nuggets,Golden State Warriors,8.38,1.09,AWAY
2015-11-23 10:30:00,Los Angeles Lakers,Portland Trail Blazers,2.22,1.7,AWAY
2015-11-24 08:00:00,Cleveland Cavaliers,Orlando Magic,1.24,4.36,HOME
2015-11-24 08:00:00,Charlotte Hornets,Sacramento Kings,1.6,2.44,HOME
2015-11-24 08:30:00,Miami Heat,New York Knicks,1.48,2.77,HOME
2015-11-24 09:00:00,Minnesota Timberwolves,Philadelphia 76ers,1.29,3.8,HOME
2015-11-24 09:00:00,Milwaukee Bucks,Detroit Pistons,2.27,1.68,HOME
2015-11-24 09:30:00,San Antonio Spurs,Phoenix Suns,1.17,5.51,HOME
2015-11-24 10:00:00,Utah Jazz,Oklahoma City Thunder,1.78,2.09,AWAY
2015-11-25 08:00:00,Washington Wizards,Indiana Pacers,1.69,2.25,AWAY
2015-11-25 09:00:00,Memphis Grizzlies,Dallas Mavericks,1.64,2.34,HOME
